,filename,blocks,lines
172,/home/dbsm-user/data/Skripte/data/Börsenblatt/Einzelseiten/39946221X-19251224-00018.xml,6,19
173,/home/dbsm-user/data/Skripte/data/Börsenblatt/Einzelseiten/39946221X-19251224-00019.xml,6,26
174,/home/dbsm-user/data/Skripte/data/Börsenblatt/Einzelseiten/39946221X-19251224-00020.xml,13,36
175,/home/dbsm-user/data/Skripte/data/Börsenblatt/Einzelseiten/39946221X-19251224-00021.xml,5,27
176,/home/dbsm-user/data/Skripte/data/Börsenblatt/Einzelseiten/39946221X-19251224-00022.xml,9,154
177,/home/dbsm-user/data/Skripte/data/Börsenblatt/Einzelseiten/39946221X-19251224-00023.xml,9,187
178,/home/dbsm-user/data/Skripte/data/Börsenblatt/Einzelseiten/39946221X-19251224-00024.xml,7,201
179,/home/dbsm-user/data/Skripte/data/Börsenblatt/Einzelseiten/39946221X-19251224-00025.xml,10,195
180,/home/dbsm-user/data/Skripte/data/Börsenblatt/Einzelseiten/39946221X-19251224-00026.xml,23,141
181,/home/dbsm-user/data/Skripte/data/Börsenblatt/Einzelseiten/39946221X-19251224-00027.xml,17,32
182,/home/dbsm-user/data/Skripte/data/Börsenblatt/Einzelseiten/39946221X-19251224-00028.xml,43,183
183,/home/dbsm-user/data/Skripte/data/Börsenblatt/Einzelseiten/39946221X-19251224-00029.xml,8,146
184,/home/dbsm-user/data/Skripte/data/Börsenblatt/Einzelseiten/39946221X-19251224-00030.xml,8,152
185,/home/dbsm-user/data/Skripte/data/Börsenblatt/Einzelseiten/39946221X-19251224-00031.xml,11,145
186,/home/dbsm-user/data/Skripte/data/Börsenblatt/Einzelseiten/39946221X-19251224-00032.xml,66,171
187,/home/dbsm-user/data/Skripte/data/Börsenblatt/Einzelseiten/39946221X-19251228-00001.xml,11,129
188,/home/dbsm-user/data/Skripte/data/Börsenblatt/Einzelseiten/39946221X-19251228-00002.xml,5,152
189,/home/dbsm-user/data/Skripte/data/Börsenblatt/Einzelseiten/39946221X-19251228-00003.xml,8,153
190,/home/dbsm-user/data/Skripte/data/Börsenblatt/Einzelseiten/39946221X-19251228-00004.xml,5,161
191,/home/dbsm-user/data/Skripte/data/Börsenblatt/Einzelseiten/39946221X-19251228-00005.xml,12,154
192,/home/dbsm-user/data/Skripte/data/Börsenblatt/Einzelseiten/39946221X-19251228-00006.xml,14,147
193,/home/dbsm-user/data/Skripte/data/Börsenblatt/Einzelseiten/39946221X-19251228-00007.xml,14,112
194,/home/dbsm-user/data/Skripte/data/Börsenblatt/Einzelseiten/39946221X-19251228-00008.xml,13,69
195,/home/dbsm-user/data/Skripte/data/Börsenblatt/Einzelseiten/39946221X-19251228-00009.xml,7,30
196,/home/dbsm-user/data/Skripte/data/Börsenblatt/Einzelseiten/39946221X-19251228-00010.xml,20,43
197,/home/dbsm-user/data/Skripte/data/Börsenblatt/Einzelseiten/39946221X-19251228-00011.xml,10,45
198,/home/dbsm-user/data/Skripte/data/Börsenblatt/Einzelseiten/39946221X-19251228-00012.xml,12,94
199,/home/dbsm-user/data/Skripte/data/Börsenblatt/Einzelseiten/39946221X-19251228-00013.xml,5,5
200,/home/dbsm-user/data/Skripte/data/Börsenblatt/Einzelseiten/39946221X-19251228-00014.xml,12,38
201,/home/dbsm-user/data/Skripte/data/Börsenblatt/Einzelseiten/39946221X-19251228-00015.xml,5,34
202,/home/dbsm-user/data/Skripte/data/Börsenblatt/Einzelseiten/39946221X-19251228-00016.xml,11,53
203,/home/dbsm-user/data/Skripte/data/Börsenblatt/Einzelseiten/39946221X-19251228-00017.xml,12,66
204,/home/dbsm-user/data/Skripte/data/Börsenblatt/Einzelseiten/39946221X-19251228-00018.xml,9,107
